epoch,step,train_loss,train_acc,val_loss,val_acc,train_ppl,train_te,val_ppl,val_te,sav_version
0,570,1.6110579831689074,0.4856387715939203,0.2051800067226092,0.7627395468100633,80.77386724004677,0.4966066863219367,10.052772229438421,0.13803378088923948,1
1,1140,0.11888423305200903,0.7898434242767274,0.0416821439905713,0.8133784874163615,9.29191349039365,0.0901658120509661,9.134234471357132,0.038902412696010906,2
2,1710,0.03179445784220374,0.8065290536624881,0.01260265897338589,0.8113395253112382,9.728547950513645,0.03231835200354054,10.179326800680112,0.014683846681481894,3
3,2280,0.01352352729381732,0.8087441442665928,0.006463662368090203,0.810344175755811,10.450821094284102,0.01602676421214473,11.542298861240523,0.0075022286233719145,4
4,2850,0.0064373079849725685,0.8125451242630559,0.0032440636481624097,0.8053833455090462,11.38906969160829,0.008883072849282359,12.756166923582462,0.004349666306375425,5
5,3420,0.003468416966171118,0.8115152328535216,0.0017430529046881323,0.8081390463422181,642.4166522708792,0.0054749560012686185,13.452027363039772,0.0028907826935571025,6
6,3990,0.0020767713803491604,0.813229829554416,0.0010046944953501225,0.8093868414660457,11.793302639462254,0.0036883794698781064,13.620749081947151,0.0019014264978107908,7
7,4560,0.001333532533138631,0.8106361531365148,0.0011044347231897215,0.8049667632164631,12.955120439975197,0.0025220674595852,15.434013039478936,0.0015575904761707998,7
8,5130,0.0009159739211450838,0.8113002284701358,0.0004155802181533848,0.8110227236061587,13.498021767844943,0.0018417990677725472,15.09654309126682,0.0010127937483198751,8
9,5700,0.000600303601184574,0.8113450795475712,0.000416485948759752,0.8141459580564017,1291.666061945379,0.0013879744560687172,14.42648114001705,0.0009069918435046558,8
10,6270,0.0004164543691889808,0.8102407065765892,0.00018937620964910214,0.8073043630721534,15.285934488858112,0.0010289671429328587,18.641906629177242,0.0006124151673950791,9
11,6840,0.00030409837375995456,0.8102553823670107,0.0002571234600812507,0.8092721668156226,3808.8239606474403,0.0007985242006329708,17.596907777257794,0.0005268482777205409,9
12,7410,0.00022785749158509518,0.8124234277016211,0.00010316174969678589,0.8147429564296826,16.368307438798496,0.0006051960737628679,16.495256972336165,0.0003324354226424255,10
13,7980,0.00016609408480131575,0.8113805805927706,0.00010413423685046534,0.8109377279917575,17.210234379919726,0.00046853002051015514,19.00887404753689,0.00029839981117532686,10
14,8550,0.00011311125466850251,0.8119044287723838,0.00010800348306171751,0.8080655249731722,17.966187019304662,0.00035485971369986777,20.529864049658684,0.000253554320043795,10
15,9120,8.07563247546664e-05,0.8123000748158954,0.00010709458517036789,0.8082586461955308,18.586785044605453,0.0002718236230063899,20.813002844461526,0.0002238877171127839,10
16,9690,6.204131997883291e-05,0.8103697700613043,3.351828927407041e-05,0.8125876909088721,20.17926084249382,0.00021666652771855816,20.551885605195903,0.0001230506254399256,11
17,10260,4.4582307772974384e-05,0.8108791442316727,3.8495655887042327e-05,0.8229503478919916,20.62357773685187,0.00016809313955894707,18.060971955621447,0.00011758798231930536,11
18,10830,3.6445825198346654e-05,0.8113337292968813,1.2988279953181822e-05,0.8144689009099135,21.097303704215665,0.0001380895079727259,21.01006547346033,6.646346684546851e-05,12
19,11400,2.7215809325098874e-05,0.8123528873603348,3.361812778166495e-05,0.8156472810828966,27.032083739628135,0.00010988990109018335,20.887750924001065,9.989287436510874e-05,12
20,11970,2.0552444851075467e-05,0.8131212288229468,1.8084056826713397e-05,0.8142183150822627,21.060694282319908,8.941532948163709e-05,21.960863290649705,6.980175492652672e-05,12
21,12540,1.5603010684061335e-05,0.8098828268641457,6.812293660611128e-06,0.8208602346798359,15760.886342281596,7.22247618177942e-05,20.99915497783226,4.1555775108037485e-05,13
22,13110,1.2193512682706728e-05,0.8135280213317685,5.5421447238283385e-06,0.8139243724009285,21.860942020470556,5.9870587277638474e-05,23.100696919757205,3.9519191211531017e-05,14
23,13680,9.405011344330105e-06,0.8124133299365309,5.78059627211284e-06,0.8082666707502681,23.348654607022542,4.886263017807836e-05,27.58646274035398,3.42859986145042e-05,14
24,14250,7.144801850245131e-06,0.8084465625472232,5.74868388412142e-06,0.8120245451229999,31.71251976871652,4.003211328968028e-05,26.068895007453385,3.130780512218408e-05,14
25,14820,5.6969209015677365e-06,0.8109305156055451,4.354582838080508e-06,0.8139939114405365,31003.776708663747,3.349641834295318e-05,23.977264933577136,2.4985383044449202e-05,15
26,15390,4.60520369243935e-06,0.8121005203424255,4.277278429754006e-06,0.8090799634727445,29412.329040894794,2.857525746982133e-05,28.335607462048113,2.189122313241623e-05,16
27,15960,3.6564262626470417e-06,0.8122319255687734,1.4073487894468903e-06,0.80733364246622,25.222844371638462,2.422832936471809e-05,28.746040224155152,1.2703139165687917e-05,17
28,16530,2.892219442417212e-06,0.8123420304568536,2.092659319904063e-06,0.8184052334491915,25.113595657275276,2.0676791037582822e-05,23.251949221862343,1.568371541311486e-05,17
29,17100,2.3159668800369553e-06,0.810726329911308,3.1091675462372828e-06,0.809754070342353,26.4979219899632,1.7657838057503223e-05,28.74062630578047,1.6025592651836833e-05,17
30,17670,1.9309558720543035e-06,0.8104031817535444,3.137807963563925e-06,0.8141332559299214,27.231763780757746,1.5530306665383136e-05,25.925371011518955,1.3489388316625614e-05,17
31,18240,1.6047080253512928e-06,0.8111416902740274,2.4050019248988972e-06,0.8143432828059612,44052.39684557993,1.3462603436344337e-05,26.59094663928143,1.0986565695909459e-05,17
32,18810,1.335232966669122e-06,0.8139474377285479,1.0415360094384596e-06,0.8201773852720848,26.085518052919905,1.1680129037911131e-05,23.80895194746522,8.212021576635735e-06,18
33,19380,1.1130128778328678e-06,0.8104275934919819,5.853213077481693e-07,0.8121466155247204,43.69857633534769,1.013566940474521e-05,28.262417156084656,6.355645256955071e-06,19
34,19950,9.125042699029189e-07,0.8124257565237926,1.2842823565506477e-06,0.8062619743552777,28.002300201916004,8.755673788606776e-06,35.79433191912358,7.258913633585446e-06,19
35,20520,7.978604927709392e-07,0.8112058069520359,1.095054311643177e-06,0.8137401847516789,30.127457394717894,7.694330895655378e-06,30.551360499532603,6.782180783573335e-06,19
36,21090,7.030522483656218e-07,0.8117063813195329,3.1493666933594494e-07,0.8099973910077536,41.474654565453356,6.843953762480022e-06,33.648226757189754,3.7324821967858946e-06,20
37,21660,5.918844254793249e-07,0.8127461962078321,7.31053576667288e-07,0.8116989405932554,30.400201957235822,6.003325828882192e-06,34.43614470577601,4.7668252759336e-06,20
38,22230,5.038242584769131e-07,0.808219903443597,7.883705033388348e-07,0.8123830736052811,52450.282093603484,5.349660375030406e-06,33.46646257529554,4.475757568843756e-06,20
39,22800,4.58999793189625e-07,0.8125090366154626,5.876798386594828e-07,0.8163210177760883,31.402597553749136,4.869711689767452e-06,33.74886834787898,4.635379225658606e-06,20
40,23370,3.9793098977974407e-07,0.8102105580703042,3.6123098183793446e-07,0.8179428894057639,34.25178624349986,4.397698383181234e-06,29.270606440622352,3.507413977725479e-06,20
41,23940,3.85430980499454e-07,0.8111859749018295,5.765751479221611e-07,0.8157878591753733,32.39004326237958,4.102286329424165e-06,31.522156340194265,3.41025913604682e-06,20
42,24510,3.4949953527131043e-07,0.8124684716466242,2.536851634242036e-07,0.8234097321016985,31.974444413359034,3.8112755229531892e-06,26.186860484343,3.0834616237302267e-06,21
43,25080,3.221189678563924e-07,0.8129685860121827,4.18196678234987e-07,0.8085376090390696,31.596464105696125,3.6100390868647337e-06,36.5253983699055,2.996266388344928e-06,21
44,25650,3.125024111171657e-07,0.8124253648645775,2.484608488136549e-07,0.813881980799617,32.833939689877006,3.4851764594112154e-06,32.87568444547407,2.6449872846045364e-06,22
45,26220,2.9354667179510424e-07,0.8118707220850643,5.93515631545453e-07,0.8118247396598083,32.89525038014419,3.3224590815780704e-06,35.37073444609208,3.0695436121693166e-06,22
46,26790,2.959913399885201e-07,0.8133177871647399,7.232414604393018e-07,0.8082209949226588,31.96458196226317,3.2692611458940367e-06,36.39955101403197,3.1131551589831692e-06,22
47,27360,2.7616820324083805e-07,0.8108143008083968,7.257988284455527e-07,0.8160596554939343,34.2735623373196,3.2189519591419313e-06,32.79117654453555,3.0374074700889047e-06,22
48,27930,2.897226233363183e-07,0.8128405966445649,7.124895168667914e-07,0.8154632008841546,33.086877395398496,3.254240152839535e-06,33.612470765023566,3.047601606908813e-06,22
49,28500,2.935765468636052e-07,0.8107884937139268,4.643089926759103e-07,0.8140709859190863,47.554175357743006,3.2339323305943434e-06,34.049362350737255,2.7237916682171927e-06,22
